"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","846","Код 404 при попытке получить заказ по несуществующему номеру","tests","2025-12-14","passed","2025-12-14","TestGetOrderByTrack","test_get_order_by_track","",""
"","9542","Код 200 при успешном получении списка заказов","tests","2025-12-14","passed","2025-12-14","TestGetOrdersList","test_get_orders_list","",""
"","843","Код 404 при при попытке логина с некорректными данными","tests","2025-12-14","passed","2025-12-14","TestLoginCourier","test_login_courier","",""
"","1015","Код 201 при успешном создании заказа","tests","2025-12-14","passed","2025-12-14","TestCreateOrder","test_create_order","",""
"","725","Код 400 при попытке принять заказ без id заказа или курьера","tests","2025-12-14","passed","2025-12-14","TestAcceptOrder","test_accept_order","",""
"","766","Код 400 при создании курьера с пустым полем ввода","tests","2025-12-14","passed","2025-12-14","TestCreateCourier","test_create_courier","",""
"","775","Код 400 при при попытке логина с пустым полем","tests","2025-12-14","passed","2025-12-14","TestLoginCourier","test_login_courier","",""
"","778","Код 200 при успешном получении заказа по его номеру","tests","2025-12-14","passed","2025-12-14","TestGetOrderByTrack","test_get_order_by_track","",""
"","782","Код 404 при попытке получить заказ по несуществующему номеру","tests","2025-12-14","passed","2025-12-14","TestGetOrderByTrack","test_get_order_by_track","",""
"","815","Код 400 при создании курьера с пустым полем ввода","tests","2025-12-14","passed","2025-12-14","TestCreateCourier","test_create_courier","",""
"","816","Код 201 при успешном создании заказа","tests","2025-12-14","passed","2025-12-14","TestCreateOrder","test_create_order","",""
"","735","Код 400 попытке получить заказ без номера","tests","2025-12-14","passed","2025-12-14","TestGetOrderByTrack","test_get_order_by_track","",""
"","2513","Код 200 при успешном удалении курьера","tests","2025-12-14","passed","2025-12-14","TestDeleteCourier","test_delete_courier","",""
"","781","Код 400 при удалении курьера без передачи id","tests","2025-12-14","failed","2025-12-14","TestDeleteCourier","test_delete_courier","",""
"","947","Код 200 после успешного принятия заказа","tests","2025-12-14","passed","2025-12-14","TestAcceptOrder","test_accept_order","",""
"","879","Код 404 при удалении курьера с несуществующим id","tests","2025-12-14","failed","2025-12-14","TestDeleteCourier","test_delete_courier","",""
"","761","Код 404 при удалении курьера с несуществующим id","tests","2025-12-14","failed","2025-12-14","TestDeleteCourier","test_delete_courier","",""
"","1227","Код 404 при при попытке логина с некорректными данными","tests","2025-12-14","passed","2025-12-14","TestLoginCourier","test_login_courier","",""
"","795","Код 409 при создании курьеров с одинаковыми данными","tests","2025-12-14","failed","2025-12-14","TestCreateCourier","test_create_courier","",""
"","921","Код 400 при при попытке логина с пустым полем","tests","2025-12-14","passed","2025-12-14","TestLoginCourier","test_login_courier","",""
"","826","Код 404 при попытке принять заказ с неверным id заказа или курьера","tests","2025-12-14","passed","2025-12-14","TestAcceptOrder","test_accept_order","",""
"","781","Код 201 при успешном создании заказа","tests","2025-12-14","passed","2025-12-14","TestCreateOrder","test_create_order","",""
"","771","Код 200 при успешном создании курьера","tests","2025-12-14","passed","2025-12-14","TestCreateCourier","test_create_courier","",""
"","807","Код 201 при успешном создании заказа","tests","2025-12-14","passed","2025-12-14","TestCreateOrder","test_create_order","",""
"","819","Код 200 при успешном логине курьера","tests","2025-12-14","passed","2025-12-14","TestLoginCourier","test_login_courier","",""
"","776","Код 404 при удалении курьера с несуществующим id","tests","2025-12-14","failed","2025-12-14","TestDeleteCourier","test_delete_courier","",""
"","858","Код 404 при попытке принять заказ с неверным id заказа или курьера","tests","2025-12-14","passed","2025-12-14","TestAcceptOrder","test_accept_order","",""
"","933","Код 404 при при попытке логина несуществующего курьера","tests","2025-12-14","passed","2025-12-14","TestLoginCourier","test_login_courier","",""
"","750","Код 400 при попытке принять заказ без id заказа или курьера","tests","2025-12-14","failed","2025-12-14","TestAcceptOrder","test_accept_order","",""
